Customer ID,Orders,State Abbreviation - 1,Zip/Postcode - 1,Country - 1
81513,0,NY,11373,United States
81514,0,,,
81515,0,IL,60443,United States
81516,0,GA,31044,United States
81517,0,NY,11413,United States
81518,0,QC,H1x1x1,Canada
81519,0,DC,20019,United States
81520,0,KY,40218,United States
81521,0,CA,91942,United States
81522,0,TX,77052,United States
81523,0,CA,90029,United States
81524,0,CO,80017,United States
81525,0,VT,5301,United States
81526,0,,11885,Qatar
81527,0,PA,15132,United States
81528,0,ON,m4p 1t6,Canada
81529,0,,947,United Arab Emirates
81530,0,NJ,7065,United States
81531,0,PA,19139-3615,United States
81532,0,TN,37042,United States
81533,0,GA,30360,United States
81534,0,OH,44718,United States
81535,0,NY,11432,United States
81536,0,NC,27518,United States
81537,0,NC,27518,United States
81538,0,,HU6 7RA,United Kingdom
81539,0,FL,34266,United States
81540,0,PA,15853,United States
81541,0,,233,Ghana
81542,0,NJ,7055,United States
81543,0,NJ,7055,United States
81544,0,MN,55104,United States
81545,0,NY,11374,United States
81546,0,SC,29607,United States
81547,0,SC,29607,United States
81548,0,CA,95624,United States
81549,0,AL,36856,United States
81550,0,IL,60651,United States
81551,0,TX,77406,United States
81552,0,KS,66103,United States
81553,0,,N13 5AX,United Kingdom
81554,0,LA,70506,United States
81555,0,,Sw19 7qa,United Kingdom
81556,0,NY,14608,United States
81557,0,,3083JK,Netherlands
81558,0,IL,60636,United States
81559,0,ON,L6V3M9,Canada
81560,0,TN,37040,United States
81561,0,GA,30642,United States
81562,0,OK,74115,United States
81563,0,NC,28105,United States
81564,0,PA,15236,United States
81565,0,VA,22303,United States
81566,0,SC,29845,United States
81567,0,,24112,United States
81568,0,TX,75232,United States
81569,0,LA,71368,United States
81570,0,VA,22407,United States
81571,0,MD,20705,United States
81572,0,NJ,7083,United States
81573,0,,96205,United States
81574,0,OK,73099,United States
81575,0,CA,91016,United States
81576,0,NJ,7067,United States
81577,0,CA,90018,United States
81578,0,IL,60643,United States
81579,0,GA,31220,United States
81580,0,SC,29116,United States
81581,0,CA,92553,United States
81582,5,VA,20171,United States
81583,0,CO,80005,United States
81584,0,NDS,31195,Germany
81585,0,MD,20886,United States
81586,0,SC,29063,United States
81587,0,NC,28306,United States
81588,0,AL,36301,United States
81589,0,VA,22101,United States
81590,0,MD,20878,United States
81591,0,NY,11432,United States
81592,0,MA,1605,United States
81593,0,CA,94601,United States
81594,0,CA,94601,United States
81595,0,WA,98027,United States
81596,0,WA,98466,United States
81597,0,TN,38016,United States
81598,0,VA,22304,United States
81599,2,ON,M9V3S5,Canada
81600,0,ON,M9V3S5,Canada
81601,0,IN,46234,United States
81602,2,NY,11238,United States
81603,0,NJ,8872,United States
81604,0,IL,60302,United States
81605,0,RI,2909,United States
81606,0,,se16 2ag,United Kingdom
81607,0,NY,14221,United States
81608,0,,,
81609,0,NJ,07203-2001,United States
81610,0,FL,34116,United States
81611,0,IL,60031,United States
81612,0,CA,92545,United States
81613,0,FL,32176,United States
81614,0,VA,22408,United States
81615,0,NY,10710,United States
81616,0,NY,10977,United States
81617,0,NJ,7601,United States
81618,0,,51100,France
81619,0,MA,1803,United States
81620,0,AL,36832,United States
81621,0,TX,75701,United States
81622,0,MA,2131,United States
81623,0,,92290,France
81624,0,VA,22191,United States
81625,0,TX,79703,United States
81626,0,CO,80401,United States
81627,0,CA,93436,United States
81628,0,CA,93436,United States
81629,0,IL,60062,United States
81630,0,LA,70056,United States
81631,0,KS,66224,United States
81632,0,MD,20601,United States
81633,0,CA,93722,United States
81634,0,MD,20876,United States
81635,0,DC,20010,United States
81636,0,CA,92122,United States
81637,0,DE,19805,United States
81638,0,OH,45066,United States
81639,0,CA,94565,United States
81640,0,GA,30507,United States
81641,0,,77054,United States
81642,0,,85650,United States
81643,0,PA,18360,United States
81644,0,NJ,8225,United States
81645,0,MD,20747,United States
81646,0,NY,10550,United States
81647,0,OK,74145,United States
81648,0,,92390,France
81649,0,MD,20708,United States
81650,0,,b98 7sl,United Kingdom
81651,8,PA,15025,United States
81652,0,UT,84070,United States
81653,0,WI,53051,United States
81654,0,TX,78705,United States
81655,0,FL,34238,United States
81656,0,FL,33020,United States
81657,0,MD,21113,United States
81658,0,,27383,Germany
81659,0,NY,11790,United States
81660,0,OH,45011,United States
81661,0,MD,20774,United States
81662,0,NY,14812,United States
81663,0,RI,2860,United States
81664,0,WA,98006,United States
81665,0,TX,76018,United States
