"","Series 1"
"1",276.94
"2",964.76
"3",243.54
"4",394.58
"5",281.9
"6",652.76
"7",399.36
"8",298.58
"9",760.39
"10",312
"11",350
"12",517.81
"13",49.73
"14",27.61
"15",551.48
"16",445.18
"17",753.95
"18",1096.42
"19",505.89
"20",295.05
"21",517.11
"22",209.83
"23",657.7
"24",485.16
"25",278.37
"26",378.82
"27",221.99
"28",158.42
"29",244.89
"30",345.76
"31",128.96
"32",154.72
"33",444
"34",694.44
"35",334.4
"36",1056.93
"37",1143.88
"38",617.55
"39",681.97
"40",173.97
"41",610.94
"42",567.91
"43",536.97
"44",528.08
"45",847.82
"46",658.31
"47",632.26
"48",507.39
"49",349.96
"50",514.77
"51",1210.97
"52",1059.53
"53",584.97
"54",1157.45
"55",1027.64
"56",470.67
"57",228.48
"58",413.81
"59",506.77
"60",696.96
"61",546.57
"62",436.95
"63",933.87
"64",568.48
"65",1019.32
"66",525.26
"67",483.7
"68",1338.89
"69",585.77
"70",256.97
"71",267.93
"72",1329.64
"73",567.61
"74",300.78
"75",160.43
"76",371.96
"77",745.69
"78",394.7
"79",822.9
"80",805.24
"81",657.06
"82",1234.95
"83",254.93
"84",573.29
"85",183.53
"86",136.76
"87",166.97
"88",222.78
"89",1224.44
"90",385.71
"91",846.77
"92",160.99
"93",322.97
"94",614.92
"95",244.95
"96",320.75
"97",520.94
"98",794.93
"99",539.28
"100",662.98
"101",488.45
"102",510.87
"103",699.39
"104",364.75
"105",463.65
"106",230.98
"107",299.73
"108",345.13
"109",820.37
"110",671.35
"111",585.72
"112",264.94
"113",303.97
"114",679.41
"115",385.37
"116",945.62
"117",623.68
"118",429.62
"119",350.22
"120",214.1
"121",276.44
"122",730.95
"123",667.52
"124",405.76
"125",322.95
"126",125.98
"127",135.97
"128",264.99
"129",214.39
"130",72.94
"131",516.83
"132",581.48
"133",27.99
"134",156.67
"135",292.7
"136",1085.23
"137",563.67
"138",345.27
"139",887.87
"140",166.97
"141",224.98
"142",343.87
"143",459.63
