"date","users","adClicks","adCost","goalConversionRateAll"
2014-01-01,583,277,20.36,0
2014-01-02,652,293,20.57,0
2014-01-03,632,268,17.54,0
2014-01-04,621,271,19.22,0
2014-01-05,596,276,20.34,0
2014-01-06,584,206,13.99,0
2014-01-07,586,255,22.1,0
2014-01-08,619,269,20.95,0
2014-01-09,596,273,21.63,0
2014-01-10,597,255,19,0
2014-01-11,561,271,21.39,0
2014-01-12,598,251,18.36,0
2014-01-13,605,250,18.42,0
2014-01-14,537,244,16.9,0
2014-01-15,575,252,21.84,0
2014-01-16,563,269,21.6,0
2014-01-17,562,233,19.1,0
2014-01-18,585,252,21.93,0
2014-01-19,540,211,18.25,0
2014-01-20,613,271,21.51,0
2014-01-21,576,200,17.05,0
2014-01-22,125,0,0,0
2014-01-23,20,0,0,0
2014-01-24,41,0,0,0
2014-01-25,35,0,0,0
2014-01-26,32,0,0,0
2014-01-27,24,0,0,0
2014-01-28,35,0,0,0
2014-01-29,30,0,0,0
2014-01-30,42,0,0,0
2014-01-31,36,0,0,0
2014-02-01,32,0,0,0
2014-02-02,32,0,0,0
2014-02-03,45,0,0,0
2014-02-04,30,0,0,0
2014-02-05,41,0,0,0
2014-02-06,39,0,0,0
2014-02-07,35,0,0,0
2014-02-08,53,0,0,0
2014-02-09,49,0,0,0
2014-02-10,47,0,0,0
2014-02-11,51,0,0,0
2014-02-12,41,0,0,0
2014-02-13,56,0,0,0
2014-02-14,39,0,0,0
2014-02-15,37,0,0,0
2014-02-16,50,0,0,0
2014-02-17,48,0,0,0
2014-02-18,48,0,0,0
2014-02-19,47,0,0,0
2014-02-20,37,0,0,0
2014-02-21,51,0,0,0
2014-02-22,55,0,0,0
2014-02-23,56,0,0,0
2014-02-24,40,0,0,0
2014-02-25,48,0,0,0
2014-02-26,45,12,3.03,0
2014-02-27,63,26,12.86,0
2014-02-28,53,45,18.03,0
2014-03-01,70,84,17.75,0
2014-03-02,57,130,17.66,0
2014-03-03,54,133,18.75,0
2014-03-04,46,134,18.05,0
2014-03-05,66,138,18.38,0
2014-03-06,50,136,18.02,0
