"date","users","adClicks","adCost","goalConversionRateAll"
2016-11-28,665,797,90.26,0
2016-11-29,917,760,84.7,0
2016-11-30,877,717,82.86,0
2016-12-01,931,768,86.53,0
2016-12-02,867,730,84.17,0
2016-12-03,835,689,78.29,0
2016-12-04,843,694,79.69,0
2016-12-05,922,767,89.76,0
2016-12-06,921,765,88.44,0
2016-12-07,921,768,87.91,0
2016-12-08,958,757,86.12,0
2016-12-09,857,757,83.24,0
2016-12-10,820,675,76.06,0
2016-12-11,829,704,79.82,0
2016-12-12,915,762,87.03,0
2016-12-13,935,783,86.58,0
2016-12-14,863,720,83.61,0
2016-12-15,847,703,81.7,0
2016-12-16,842,675,79.53,0
2016-12-17,787,663,73.18,0
2016-12-18,782,653,75.61,0
2016-12-19,854,726,84.3,0
2016-12-20,812,713,80.74,0
2016-12-21,819,692,78.14,0
2016-12-22,779,662,74.77,0
2016-12-23,718,588,68.05,0
2016-12-24,628,563,66.27,0
2016-12-25,606,527,63.51,0
2016-12-26,789,673,76.74,0
2016-12-27,801,654,76.12,0
2016-12-28,798,654,76.28,0
2016-12-29,776,642,74.04,0
2016-12-30,766,618,69.34,0
2016-12-31,617,493,56.37,0
2017-01-01,791,689,78.88,0
2017-01-02,871,749,82.49,0
2017-01-03,836,703,82.12,0
2017-01-04,844,704,81.62,0
2017-01-05,888,730,81.75,0
2017-01-06,825,683,78.4,0
2017-01-07,808,685,78.21,0
2017-01-08,821,708,77.76,0
2017-01-09,848,727,82.67,0
2017-01-10,843,694,81.82,0
2017-01-11,874,727,81.06,0
2017-01-12,858,731,79.35,0
2017-01-13,858,694,77.79,0
2017-01-14,824,684,77.22,0
2017-01-15,833,690,77.1,0
2017-01-16,872,730,78.87,0
2017-01-17,839,691,80.61,0
2017-01-18,838,712,80.8,0
2017-01-19,826,709,79.29,0
2017-01-20,796,664,75.84,0
2017-01-21,865,707,76.83,0
2017-01-22,806,665,76.47,0
2017-01-23,824,692,79.31,0
2017-01-24,784,658,78.18,0
2017-01-25,792,674,77.75,0
2017-01-26,813,663,77.55,0
2017-01-27,872,656,74.52,0
2017-01-28,790,681,74.46,0
2017-01-29,786,653,74.55,0
2017-01-30,793,656,75.21,0
2017-01-31,787,624,73.5,0
2017-02-01,947,771,90.17,0
2017-02-02,939,780,89.74,0
2017-02-03,907,751,86.9,0
2017-02-04,912,774,86.99,0
2017-02-05,865,757,86.7,0
2017-02-06,895,780,91.94,0
2017-02-07,969,809,92.23,0
2017-02-08,949,817,90.59,0
2017-02-09,959,827,89.68,0
2017-02-10,941,791,85.92,0
2017-02-11,950,804,85.77,0
