"users","sessions","adClicks","adCost","revenue"
0,343.501904761905,167,19.69,447.89
0,343.501904761905,164,19.75,194.35
0,343.501904761905,173,20.12,223.55
0,343.501904761905,176,19.8,291.38
0,343.501904761905,169,20.98,782.49
0,343.501904761905,175,20.55,588.39
1,1,183,20.57,1022.74
0,343.501904761905,166,20.29,345.92
0,343.501904761905,160,19.49,209.7
0,343.501904761905,155,19.56,270.16
0,343.501904761905,191,21.05,21.98
1,1,177,20.62,462.25
0,343.501904761905,178,20.2,150.74
0,343.501904761905,155,20.01,752.79
0,343.501904761905,268,32.41,88
0,343.501904761905,351,40.65,328.93
1,1,329,40.27,660.34
0,343.501904761905,8,1.2,193.98
0,343.501904761905,2,0.22,393.92
0,343.501904761905,420,50.12,221.98
0,343.501904761905,368,46.08,140.11
0,343.501904761905,404,50.37,82.78
0,343.501904761905,423,51.14,148.5
0,343.501904761905,417,50.36,430.98
0,343.501904761905,425,52.52,324.75
0,343.501904761905,391,48.92,185.99
0,343.501904761905,395,49.13,526.97
0,343.501904761905,428,52.23,495.52
0,343.501904761905,471,57.77,1092.14
0,343.501904761905,468,58.4,437.95
0,343.501904761905,431,52.38,841.66
0,343.501904761905,457,56.02,406.9
0,343.501904761905,440,55.77,669.21
0,343.501904761905,443,54.82,294.06
0,343.501904761905,432,53.48,504.69
0,343.501904761905,414,52.01,711.86
0,343.501904761905,423,51.66,533.9
0,343.501904761905,430,52.27,500.02
0,343.501904761905,439,55.02,862.47
0,343.501904761905,433,54.21,773.88
0,343.501904761905,422,53.42,799.96
0,343.501904761905,411,52.93,823.82
0,343.501904761905,420,51.11,944.51
0,343.501904761905,407,51.04,827.86
0,343.501904761905,410,51.09,143.75
0,343.501904761905,441,53.92,156.97
0,343.501904761905,424,53.44,1211.56
0,343.501904761905,425,52.91,901.46
0,343.501904761905,424,51.93,1141.28
0,343.501904761905,419,50.29,810.86
0,343.501904761905,397,50.25,624.63
0,343.501904761905,397,50.5,379.66
0,343.501904761905,424,52.32,730.8
0,343.501904761905,394,51.61,1217.96
0,343.501904761905,396,51.1,749.24
0,343.501904761905,414,50.45,205.38
0,343.501904761905,401,48.59,1106.29
0,343.501904761905,358,44.82,361.97
0,343.501904761905,398,47.21,1418.58
0,343.501904761905,397,50.54,1390.5
0,343.501904761905,409,49.19,1278.8
0,343.501904761905,392,49.07,1078.41
20,20,383,47.93,743.54
0,343.501904761905,381,46.71,863.69
0,343.501904761905,390,46.74,911.27
0,343.501904761905,379,46.6,1012.28
0,343.501904761905,396,48.92,730.36
1,1,380,47.84,321.82
0,343.501904761905,407,48.3,719.14
0,343.501904761905,374,47.68,561.37
0,343.501904761905,370,46.66,611.92
0,343.501904761905,401,46.82,173.23
0,343.501904761905,392,46.97,966.22
0,343.501904761905,413,49.39,575.93
0,343.501904761905,396,48.8,639.23
0,343.501904761905,394,47.56,364.14
0,343.501904761905,381,46.67,448.63
0,343.501904761905,375,46.34,468.43
0,343.501904761905,378,45.99,642.3
0,343.501904761905,384,45.86,716.47
0,343.501904761905,377,48.35,1209.21
0,343.501904761905,387,47.33,646.27
0,343.501904761905,386,46.64,568.3
0,343.501904761905,358,45.87,277.26
0,343.501904761905,357,45.42,398.28
11,11,373,44.72,508.32
0,343.501904761905,343,44.41,323.92
0,343.501904761905,356,44.94,1398.43
0,343.501904761905,357,43.75,445.14
0,343.501904761905,405,50.2,1128.33
0,343.501904761905,393,48.68,382.11
0,343.501904761905,413,49.13,300.4
2,2,406,48.63,261.26
0,343.501904761905,389,48.84,177.93
0,343.501904761905,414,51.08,388.91
0,343.501904761905,395,51.53,870.89
0,343.501904761905,398,50.18,592.15
0,343.501904761905,409,49.58,350.94
0,343.501904761905,393,48.29,526.96
2,2,388,48.19,372.44
1,1,407,48.58,336.95
1,1,417,51.62,671.88
0,343.501904761905,414,50.54,571.59
0,343.501904761905,409,50.52,223.5
1,1,399,48.61,861.75
1,1,380,47.72,832.67
0,343.501904761905,390,47.55,813.92
1,1,380,47.66,578.46
10,10,393,50.18,607.34
7,7,390,49.07,582.89
0,343.501904761905,394,48.5,739.83
13,13,393,47.76,1114.53
0,343.501904761905,382,46.64,511.87
1,1,373,46.68,598.96
0,343.501904761905,368,46.66,190.18
2,2,385,47.66,827.5
0,343.501904761905,364,46.77,604.5
0,343.501904761905,365,46.58,293.76
1,1,364,46.26,741.9
2,2,364,47.09,190.46
0,343.501904761905,382,47.08,57.99
8,8,392,47.27,72.48
5,5,407,51.39,1059.46
6,6,404,50.66,905.24
5,5,411,50.49,1297.76
3,3,390,49.31,281.11
2,2,368,46.8,435.37
2,2,386,46.75,697.1
0,343.501904761905,359,44.23,418.79
18,18,410,50.83,301.02
28,28,387,50.17,997.85
1,1,397,49.72,359.95
0,343.501904761905,401,48.63,581.61
45,45,370,46.11,418.29
1,1,381,46.13,142.94
13,13,370,46.04,291.96
3,3,385,49.51,657.15
3,3,394,49.56,979.83
4,4,391,48.82,330.88
23,23,398,47.78,515.38
0,343.501904761905,353,45.48,587.92
0,343.501904761905,364,45.25,355.95
1,1,370,44.49,304.01
0,343.501904761905,377,44.52,508.84
1,1,385,48.39,457.43
2,2,384,47.38,435.42
0,343.501904761905,370,46.72,518.88
1,1,362,44,1233.66
2,2,330,40.37,723.18
1,1,301,38.23,713.82
0,343.501904761905,438,52.09,1688.99
29,29,420,51.62,948.62
1,1,398,51.24,924.69
0,343.501904761905,404,49.65,1545.75
1,1,390,48.49,1173.05
0,343.501904761905,399,48.32,659.38
10,10,389,48.36,239.75
25,25,408,51.21,1508.26
0,343.501904761905,401,51.01,820.68
0,343.501904761905,392,50.22,655.8
0,343.501904761905,391,50.1,95.77
0,343.501904761905,384,48.29,1231.99
0,343.501904761905,384,47.71,388.24
0,343.501904761905,383,47.48,837.89
1,1,415,51.56,155.93
0,343.501904761905,385,50.45,1009.43
5,5,387,49.86,632.92
1,1,380,48.95,892.35
2,2,367,47.1,462.49
1,1,382,47.06,444.53
15,15,376,47.63,242.05
1,1,396,49.32,508.43
1,1,379,48.82,380.01
0,343.501904761905,370,48.49,903.59
1,1,370,47.41,373.98
0,343.501904761905,369,45.45,631.1
0,343.501904761905,370,45.59,276.86
0,343.501904761905,362,45.46,466.75
0,343.501904761905,360,45.46,497
0,343.501904761905,361,45.01,1352.1
1,1,386,49.21,358.55
2,2,390,47.07,527.19
0,343.501904761905,389,47.13,317.88
1,1,373,47.24,154.97
0,343.501904761905,391,47.63,290.86
2,2,386,50.52,995.73
1,1,377,50.01,237.81
1,1,383,48.66,577.08
1,1,372,48.04,671.99
1,1,381,46.85,1353.28
0,343.501904761905,385,46.88,267.38
1,1,369,46.94,672.6
0,343.501904761905,396,49.9,233.95
2,2,384,49.58,251.39
15,15,388,47.83,435.8
3,3,378,47.45,556.8
1,1,396,46.15,809.87
0,343.501904761905,375,46.06,1111.59
0,343.501904761905,377,46.27,176.95
2,2,384,49.22,826.15
2,2,398,47.81,544.85
3,3,384,47.23,547.94
0,343.501904761905,376,46.86,678.25
4,4,371,44.94,161.26
5,5,382,44.92,223.89
2,2,387,45.32,486.89
2,2,376,46.36,374.35
1,1,376,58.9,1213.32
4,4,422,55.9,578.51
2,2,389,54.99,693.63
2,2,87,16.77,183.99
4,4,42,12.55,96.97
2,2,36,10.85,91.98
0,343.501904761905,21,9.06,369.98
0,343.501904761905,0,67.3008857142857,590.77
3,3,0,67.3008857142857,231.97
0,343.501904761905,291,41.3,155.48
3,3,439,69.82,278.67
0,343.501904761905,451,70.23,535.73
4,4,444,70.13,427.95
4,4,449,71.54,383.9
0,343.501904761905,451,71.17,473.94
1,1,449,70.81,553.54
0,343.501904761905,477,70.7,311.96
3,3,451,69.96,447.62
0,343.501904761905,428,69.41,176.96
3,3,462,69.3,184.63
0,343.501904761905,436,71.3,830.72
1,1,423,70.94,823.52
0,343.501904761905,460,70.44,443.29
1,1,451,71.66,279.98
1,1,452,70.01,221.32
0,343.501904761905,438,68.42,388.65
0,343.501904761905,451,68.18,331.33
0,343.501904761905,444,71.58,573.96
0,343.501904761905,461,70.51,315.91
1,1,465,69.68,686.24
0,343.501904761905,453,69.69,503.17
0,343.501904761905,442,67.92,611.82
1,1,445,65.14,259.1
1,1,447,66.03,440.19
3,3,428,64.3,385.99
4,4,416,65.04,1234.6
2,2,391,63.57,2008.11
2,2,396,62.86,684.9
1,1,406,60.68,1106.49
2,2,406,61.56,248.13
2,2,399,60.85,195.44
2,2,413,64.24,586.34
0,343.501904761905,393,63.22,342
0,343.501904761905,385,62.24,417.37
0,343.501904761905,384,60.11,589.46
0,343.501904761905,388,60.39,45.98
1,1,382,60.2,362.9
0,343.501904761905,397,65.06,353.83
0,343.501904761905,398,63.05,690.86
0,343.501904761905,391,62.84,241.75
0,343.501904761905,388,61.65,439.92
0,343.501904761905,399,60.05,828.41
