"","Series 1"
"1",2814.48
"2",11283.62
"3",20625.55
"4",16188.49
"5",15045.8
"6",8342.18
"7",14875.33
"8",9984.86
"9",10860.6
"10",10967.83
"11",15072.95
"12",11631.62
"13",11517.17
"14",19236.61
"15",22411.39
"16",17056.3
"17",16831.73
"18",21948.38
"19",16514.7
"20",12407.24
"21",17500.64
"22",13485.06
"23",17015.43
"24",12422.12
"25",15294.92
"26",18443.07
"27",17383.59
"28",23129.25
"29",21547.95
"30",19210.61
"31",22257.6
"32",22515.99
"33",22339.23
"34",19058.24
"35",19308.8
"36",19308.52
"37",19999.83
"38",22253.08
"39",20966.76
"40",21983.94
"41",18232.68
"42",19233.1
"43",20773.79
"44",26580
"45",22717.34
"46",22105.85
