Order ID,Order Status,Order Date,Order Time,Order Total (inc tax),Customer ID,Product Details,Transaction ID
18002,Refunded,01-26-2014,14:02:21,41.95,34214,Product ID: 4475,ch_103Njf2GuzSZQBE5nMonsPnX
18003,Shipped,01-26-2014,20:45:33,159,40510,Product ID: 4611,76U1389756964090G
18004,Shipped,01-26-2014,23:15:45,75.99,40511,Product ID: 3305|Product ID: 3323|Product ID: 3327|Product ID: 4333,ch_103Nsa2GuzSZQBE5qFemzQ5V
18005,Shipped,01-27-2014,2:39:40,104,40512,Product ID: 3439|Product ID: 4560,6JB71874JG935160T
18006,Shipped,01-27-2014,10:06:47,107.07,32721,Product ID: 3721,ch_103O352GuzSZQBE53tPUZjYW
18008,Shipped,01-27-2014,13:40:37,64.74,40513,Product ID: 4584,ch_103O6X2GuzSZQBE5y9q6v4hc
18009,Shipped,01-27-2014,14:42:43,109.98,27346,Product ID: 4643,7L526315J7736551Y
18010,Shipped,01-27-2014,15:32:54,82.99,36089,Product ID: 3759,ch_103O8M2GuzSZQBE5B0lp4Ai6
18011,Shipped,01-27-2014,17:05:36,129,29342,Product ID: 4038,5P569601N99518630
18012,Shipped,01-27-2014,17:29:11,247.98,40514,Product ID: 3707|Product ID: 3736|Product ID: 3981,06D05711R0597282J
18013,Shipped,01-27-2014,20:22:13,119,40515,Product ID: 4259,ch_103OD02GuzSZQBE5gzuwFEp2
18015,Shipped,01-28-2014,15:06:06,87.96,40519,Product ID: 4352,9NX72951VS5277340
18016,Shipped,01-28-2014,19:13:20,84.88,42822,Product ID: 6168,ch_103OZ72GuzSZQBE5lDAbD6p9
18017,Shipped,01-28-2014,19:52:40,62.7,42847,Product ID: 6174,ch_103OZl2GuzSZQBE5DFa1ii9C
18020,Declined,01-28-2014,23:37:11,8,54183,Product ID: 5639,ch_103OdN2GuzSZQBE5Dql8LURL
18022,Declined,01-29-2014,2:39:40,394.58,54184,Product ID: 5617,ch_103OgK2GuzSZQBE5Iy6qYTHZ
18025,Shipped,01-30-2014,15:54:38,64.97,85933,Product ID: 10443,ch_103PGM2GuzSZQBE5kGZoRltf
18027,Shipped,01-30-2014,19:37:21,66.98,89717,Product ID: 10211|Product ID: 10250,ch_103PJy2GuzSZQBE5I97Eg4ij
18028,Shipped,01-30-2014,21:11:28,149.95,95176,Product ID: 10254|Product ID: 10254|Product ID: 10256|Product ID: 10260,3UH90602WP911230T
18029,Shipped,01-31-2014,8:30:48,257,95177,Product ID: 10680|Product ID: 10680,ch_103PWR2GuzSZQBE5WOahwqcY
18031,Shipped,01-31-2014,13:30:54,246,89989,Product ID: 9708|Product ID: 10626,ch_103PbH2GuzSZQBE53LCrToqC
18032,Shipped,01-31-2014,14:32:21,45.74,95178,Product ID: 9602,ch_103PcH2GuzSZQBE5wB9ErVi2
18033,Shipped,01-31-2014,16:26:22,64.11,90341,Product ID: 10675|Product ID: 10756,ch_103Pe72GuzSZQBE5dVQC7UbW
18034,Shipped,01-31-2014,19:46:16,39.91,95160,Product ID: 9992|Product ID: 10573,ch_103PhK2GuzSZQBE5HcvF6zFD
18035,Shipped,02/01/2014,0:07:18,50.92,82800,Product ID: 10749,ch_103PlX2GuzSZQBE5jyFLBkuo
18036,Shipped,02/01/2014,14:18:14,128.46,95179,Product ID: 9930|Product ID: 10043|Product ID: 10389,ch_103PzG2GuzSZQBE5dmHqtvML
18037,Shipped,02/01/2014,19:59:23,219.98,87210,Product ID: 10674,ch_103Q4m2GuzSZQBE55wz4L7Ix
18039,Shipped,02/02/2014,0:51:31,49.84,93443,Product ID: 10716,ch_103Q9T2GuzSZQBE5qEnwRQ64
18040,Shipped,02/02/2014,20:23:00,96,85153,Product ID: 9915,ch_103QSW2GuzSZQBE5bory4Htt
18041,Refunded,02/02/2014,21:01:34,104.97,94666,Product ID: 9519,ch_103QT22GuzSZQBE5Ypdnl351
18044,Shipped,02/02/2014,23:41:30,47.77,95180,Product ID: 10758,ch_103QVa2GuzSZQBE5muP34l3k
18045,Partially Shipped,02/03/2014,10:46:29,238,82493,Product ID: 10117,ch_103QgI2GuzSZQBE5Qz9wQVhs
18047,Shipped,02/03/2014,13:54:04,158,82234,Product ID: 10347,ch_103QjK2GuzSZQBE5oAoAETIu
18048,Shipped,02/03/2014,14:38:16,129,94572,Product ID: 10668,ch_103Qk32GuzSZQBE5VwBDELWG
18049,Shipped,02/03/2014,15:45:28,18,95181,Product ID: 9780,53X20145BL2930050
18050,Shipped,02/03/2014,18:41:00,87.98,82012,Product ID: 10302|Product ID: 10786,02387880JD219642B
18051,Shipped,02/03/2014,19:16:38,27,82227,Product ID: 9454,ch_103QoZ2GuzSZQBE5lqucf2He
